"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","VCU","11.0","8.7","-2.0","14.8","7.6","7.6"
"2","2","Louisville","8.2","1.3","0.0","10.3","6.8","1.9"
"3","3","Detroit","6.9","9.3","10.0","9.8","4.7","3.6"
"4","4","Arkansas","6.7","7.3","3.0","10.1","2.9","1.1"
"5","5","LA Tech","6.5","9.3","-5.0","7.8","5.5","0.4"
"6","6","Pittsburgh","6.1","-0.7","-5.0","8.0","3.9","1.1"
"7","7","Colorado St","5.6","-3.0","-13.0","7.3","4.2","-1.9"
"8","8","Niagara","5.5","9.7","8.0","5.3","5.6","4.2"
"9","9","Arkansas St","5.3","-2.0","-8.0","8.4","2.7","-0.2"
"10","10","Mississippi","5.2","0.3","5.0","9.0","1.9","0.4"
"11","11","Kansas St","5.2","3.3","6.0","8.5","2.3","4.5"
"12","12","Cal St Nrdge","5.0","-1.0","-3.0","6.2","4.1","1.7"
"13","13","Tulane","4.6","2.0","-6.0","5.5","3.6","2.4"
"14","14","N Carolina","4.5","-0.3","10.0","6.1","3.2","5.6"
"15","15","Wichita St","4.5","3.3","0.0","7.4","2.5","2.4"
"16","16","Florida","4.5","3.3","-3.0","6.8","2.9","2.3"
"17","17","Syracuse","4.4","-0.7","-4.0","7.1","2.0","3.8"
"18","18","S Illinois","4.3","3.0","-5.0","5.7","3.4","3.2"
"19","19","Beth-Cook","4.3","6.0","10.0","5.7","3.6","2.5"
"20","20","Wisconsin","4.2","-1.7","2.0","6.9","1.4","2.9"
"21","21","Middle Tenn","4.2","-0.3","-4.0","7.6","1.5","0.7"
"22","22","Oakland","4.1","5.3","0.0","5.8","3.3","2.0"
"23","23","Montana St","4.0","3.7","4.0","4.3","3.8","2.3"
"24","24","Mt St Marys","4.0","-0.3","3.0","4.8","3.6","-3.6"
"25","25","Gonzaga","4.0","5.7","13.0","5.8","2.6","0.5"
"26","26","Ohio State","4.0","0.7","1.0","5.2","2.9","6.7"
"27","27","Sam Hous St","4.0","-1.0","-1.0","3.6","4.2","-2.1"
"28","28","Cal Poly","4.0","5.3","4.0","5.2","3.2","4.2"
"29","29","Illinois","3.9","2.0","1.0","5.5","2.6","0.7"
"30","30","Cincinnati","3.9","-2.0","11.0","6.1","1.4","4.9"
"31","31","Rob Morris","3.8","1.7","-9.0","5.8","2.2","6.3"
"32","32","Evansville","3.8","7.7","6.0","6.1","1.4","1.9"
"33","33","Ste F Austin","3.8","-1.7","0.0","9.7","-0.1","3.0"
"34","34","Quinnipiac","3.6","2.3","5.0","8.1","-0.1","6.3"
"35","35","Oregon","3.5","3.0","3.0","5.1","1.8","-0.4"
"36","36","Radford","3.4","4.7","-7.0","4.8","2.6","0.4"
"37","37","W Virginia","3.4","0.0","-1.0","3.1","3.7","5.0"
"38","38","BYU","3.3","3.3","1.0","4.3","2.2","3.3"
"39","39","Old Dominion","3.3","-2.3","-4.0","3.3","3.4","5.7"
"40","40","Gard-Webb","3.3","2.3","5.0","4.1","2.8","0.8"
"41","41","Temple","3.2","7.3","9.0","4.3","2.2","0.3"
"42","42","Boise State","3.2","5.7","8.0","5.1","1.8","3.7"
"43","43","Stanford","3.2","-1.3","-4.0","5.9","0.5","3.1"
"44","44","Prairie View","3.1","1.3","4.0","3.0","3.2","2.2"
"45","45","S Mississippi","3.1","1.0","4.0","4.3","2.3","7.6"
"46","46","Drexel","3.1","3.7","-2.0","4.3","2.2","1.6"
"47","47","Morehead St","3.1","4.3","-3.0","5.4","1.4","0.6"
"48","48","Saint Louis","3.0","-5.7","0.0","3.4","2.5","4.3"
"49","49","Michigan","3.0","4.7","4.0","4.9","1.5","0.4"
"50","50","NC-Grnsboro","2.9","9.0","17.0","6.7","-0.2","2.0"
"51","51","St Marys","2.9","4.7","7.0","4.9","1.1","3.5"
