"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Gonzaga","40.1%","39.2%","35.5%","38.3%","41.9%","44.9%"
"2","2","Central FL","40.6%","40.1%","38.1%","37.2%","44.4%","47.4%"
"3","3","Cincinnati","41.0%","37.4%","36.5%","40.7%","41.3%","42.6%"
"4","4","Virginia","41.1%","34.9%","31.1%","38.1%","44.5%","45.0%"
"5","5","Wichita St","41.1%","38.6%","37.4%","39.0%","43.2%","41.4%"
"6","6","S Methodist","41.2%","44.9%","41.3%","39.1%","44.0%","43.9%"
"7","7","Illinois St","42.3%","46.9%","53.6%","40.8%","43.4%","45.7%"
"8","8","CS Bakersfld","42.3%","38.9%","40.1%","43.0%","41.9%","44.1%"
"9","9","Wisconsin","42.3%","43.8%","37.8%","38.4%","46.8%","46.2%"
"10","10","W Virginia","42.5%","45.6%","41.7%","41.2%","44.3%","45.0%"
"11","11","Oregon","42.8%","45.9%","38.3%","40.5%","45.5%","45.7%"
"12","12","Villanova","43.1%","42.4%","38.5%","40.2%","45.8%","43.2%"
"13","13","San Diego St","43.1%","39.7%","46.2%","40.7%","45.1%","42.0%"
"14","14","Purdue","43.3%","50.4%","48.3%","39.4%","48.2%","43.9%"
"15","15","California","43.3%","42.3%","39.6%","41.0%","47.0%","46.2%"
"16","16","S Carolina","43.4%","40.0%","48.6%","41.4%","46.0%","44.1%"
"17","17","LA Tech","43.7%","43.9%","40.9%","40.9%","46.7%","47.2%"
"18","18","Old Dominion","43.7%","46.0%","50.4%","40.8%","46.5%","45.0%"
"19","19","St Marys","43.8%","44.6%","52.8%","44.6%","42.9%","45.3%"
"20","20","Minnesota","43.8%","43.4%","45.4%","43.4%","44.7%","48.8%"
"21","21","St Peters","43.8%","46.2%","51.3%","43.5%","44.1%","45.2%"
"22","22","E Tenn St","43.8%","45.7%","51.3%","43.8%","43.9%","49.5%"
"23","23","Dayton","43.9%","50.8%","53.7%","41.1%","46.7%","43.7%"
"24","24","Princeton","43.9%","40.1%","36.2%","42.7%","44.7%","46.9%"
"25","25","Florida","44.1%","48.8%","49.8%","43.7%","44.2%","45.7%"
"26","26","Alabama","44.2%","42.3%","45.1%","42.4%","45.9%","48.0%"
"27","27","N Carolina","44.2%","47.7%","54.1%","41.2%","47.4%","45.5%"
"28","28","NC Central","44.2%","46.8%","55.0%","42.5%","45.2%","48.2%"
"29","29","Miami (FL)","44.2%","44.9%","50.9%","42.1%","46.7%","47.2%"
"30","30","E Carolina","44.2%","46.9%","45.6%","40.9%","48.2%","47.9%"
"31","31","Arizona","44.2%","48.5%","38.8%","43.8%","44.7%","45.0%"
"32","32","Oakland","44.2%","47.5%","49.5%","43.4%","45.2%","48.5%"
"33","33","GA Tech","44.3%","44.8%","43.0%","40.5%","49.4%","49.4%"
"34","34","Grand Canyon","44.4%","40.8%","33.5%","42.8%","46.2%","45.5%"
"35","35","Baylor","44.5%","48.6%","43.0%","42.3%","46.9%","48.1%"
"36","36","Louisville","44.5%","48.9%","45.7%","43.0%","46.3%","43.5%"
"37","37","N Iowa","44.7%","49.5%","50.3%","42.0%","46.5%","45.0%"
"38","38","Vermont","44.7%","34.3%","35.0%","42.3%","46.7%","48.1%"
"39","39","VCU","44.7%","49.2%","43.6%","43.4%","46.2%","45.7%"
